Quốc gia,Thành phố,Cửa hàng,Dịch vụ Grab,Combo
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Nước Chấm Thêm, 1x Gà Ủ Muối 1/2 Con + Xôi Ruốc Heo"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x CoCa Chai hoặc Pepsi Chai, 1x Gà Ủ Muối 1/2 Con + Xôi Ruốc Heo"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Gà Ủ Muối 1/2 Con + Xôi Ruốc Heo, 1x Xôi Ruốc Heo"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Lườn Ngỗng Hun Khói, 1x Gà Ủ Muối 1/2 con"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Xôi Ruốc Heo, 1x Gà Ủ Muối 1/2 con"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Gà Ủ Muối 1/2 Con + Xôi Ruốc Heo, 1x Gà Ủ Muối Combo"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Nước Chấm Thần Thánh, 1x Gà Ủ Muối 1/2 con"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Xôiu00a0Lườn Ngỗng, 1x Gà Ủ Muối 1/2 con"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Gà Ủ Muối Combo, 1x Gà Ủ Muối 1/2 con"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Gà Ủ Muối 1/2 con, 1x CoCa Chai hoặc Pepsi Chai"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Xôi Ruốc Heo, 1x Tai Heo Ủ Muối - Ngon Đắm Đuối"
Vietnam,Hanoi,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,GrabFood,"1x Nước Chấm Thêm, 1x Gà Ủ Muối 1/2 con"
